MICHELIN_NM,FCLTY_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE
서울2021,테이블포포,서울특별시 서초구 반포동,127.000758,37.50397,0,0,컨템퍼러리,
서울2021,폼,서울특별시 용산구 후암동,126.980623,37.549905,0,0,한식,
서울2021,피에르가니에르,서울특별시 중구 소공동,126.980057,37.564082,0,0,프렌치,
서울2021,한식공간,서울특별시 종로구 원서동,126.988255,37.58393,0,0,한신,
그린스타,"꽃,밥에피다",서울특별시 종로구 관훈동,126.984674,,0,0,한식,
그린스타,황금콩밭,서울특별시 마포구 아현동,126.956319,37.554477,0,0,두부,
빕구르망,필동면옥,서울 중구 서애로 26,126.9969996,37.5603604,0,02-2266-2611,냉면,13000
빕구르망,멘텐,서울 중구 삼일대로 305 동북빌딩1층,126.9885965,37.5619628,0,0,라멘,10500
1스타 미쉐린,솔밤,서울 강남구 도산대로37길 6 4층,127.0316861,37.521378,0,0507-1385-7308,컨템퍼러리,180000
1스타 미쉐린,윤서울,서울 마포구 홍익로2길 31 1층,126.9241172,37.5549964,0,0507-1350-3323,한식,85000
1스타 미쉐린,소울,서울 용산구 신흥로26길 35 바나힐 지하1층 소울,126.9844339,37.5453354,0,0507-1335-7685,컨템퍼러리,99000
